idkec;nmkec;NDWI
6301010;PANYIPATAN;-0.182507044
6301020;TAKISUNG;-0.185301647
6301030;KURAU;-0.146748927
6301031;BUMI MAKMUR;-0.134297882
6301040;BATI-BATI;-0.190183627
6301050;TAMBANG ULANG;-0.212301128
6301060;PELAIHARI;-0.224146728
6301061;BAJUIN;-0.239625216
6301070;BATU AMPAR;-0.219978887
6301080;JORONG;-0.194095058
6301090;KINTAP;-0.204185801
6302010;PULAU SEMBILAN;-0.15261937
6302020;PULAU LAUT BARAT;-0.207318548
6302021;PULAU LAUT TANJUNG SELAYAR;-0.165510183
6302030;PULAU LAUT SELATAN;-0.195016251
6302031;PULAU LAUT KEPULAUAN;-0.182833477
6302040;PULAU LAUT TIMUR;-0.203614272
6302050;PULAU SEBUKU;-0.195063702
6302060;PULAU LAUT UTARA;-0.179801125
6302061;PULAU LAUT TENGAH;-0.217175958
6302062;PULAU LAUT SIGAM;-0.18001222
6302120;KELUMPANG SELATAN;-0.199395469
6302121;KELUMPANG HILIR;-0.208386433
6302130;KELUMPANG HULU;-0.250077533
6302140;HAMPANG;-0.227025505
6302150;SUNGAI DURIAN;-0.231674362
6302160;KELUMPANG TENGAH;-0.22875549
6302161;KELUMPANG BARAT;-0.241233366
6302170;KELUMPANG UTARA;-0.216615262
6302180;PAMUKAN SELATAN;-0.196626193
6302190;SAMPANAHAN;-0.21128714
6302200;PAMUKAN UTARA;-0.227265231
6302201;PAMUKAN BARAT;-0.247201189
6303010;ALUH - ALUH;-0.113976185
6303011;BERUNTUNG BARU;-0.131096038
6303020;GAMBUT;-0.152972984
6303030;KERTAK HANYAR;-0.151208879
6303031;TATAH MAKMUR;-0.157639439
6303040;SUNGAI TABUK;-0.14768611
6303050;MARTAPURA;-0.183476632
6303051;MARTAPURA TIMUR;-0.146657787
6303052;MARTAPURA BARAT;-0.140985704
6303060;ASTAMBUL;-0.170742265
6303070;KARANG INTAN;-0.237856954
6303080;ARANIO;-0.211525119
6303090;SUNGAI PINANG;-0.230982499
6303091;PARAMASAN;-0.227743636
6303100;PENGARON;-0.231693073
6303101;SAMBUNG MAKMUR;-0.228353821
6303110;MATARAMAN;-0.209334819
6303120;SIMPANG EMPAT;-0.216124075
6303121;TELAGA BAUNTUNG;-0.223483255
6303122;CINTAPURI DARUSSALAM;-0.172875108
6304010;TABUNGANEN;-0.11931368
6304020;TAMBAN;-0.182123088
6304030;MEKAR SARI;-0.199727163
6304040;ANJIR PASAR;-0.188200957
6304050;ANJIR MUARA;-0.174372838
6304060;ALALAK;-0.168044972
6304070;MANDASTANA;-0.174448796
6304071;JEJANGKIT;-0.177672921
6304080;BELAWANG;-0.188911235
6304090;WANARAYA;-0.25233706
6304100;BARAMBAI;-0.228533082
6304110;RANTAU BADAUH;-0.188048522
6304120;CERBON;-0.196284301
6304130;BAKUMPAI;-0.191581241
6304140;MARABAHAN;-0.237137238
6304150;TABUKAN;-0.221093496
6304160;KURIPAN;-0.193559633
6305010;BINUANG;-0.203176271
6305011;HATUNGUN;-0.220763691
6305020;TAPIN SELATAN;-0.197145706
6305021;SALAM BABARIS;-0.205396498
6305030;TAPIN TENGAH;-0.219581492
6305040;BUNGUR;-0.204027922
6305050;PIANI;-0.223677243
6305060;LOKPAIKAT;-0.18966409
6305070;TAPIN UTARA;-0.188621216
6305080;BAKARANGAN;-0.200821678
6305090;CANDI LARAS SELATAN;-0.192260667
6305100;CANDI LARAS UTARA;-0.216711726
6306010;PADANG BATUNG;-0.234782322
6306020;LOKSADO;-0.220985312
6306030;TELAGA LANGSAT;-0.230480994
6306040;ANGKINANG;-0.202007229
6306050;KANDANGAN;-0.241683685
6306060;SUNGAI RAYA;-0.206225165
6306070;SIMPUR;-0.206044742
6306080;KALUMPANG;-0.191878767
6306090;DAHA SELATAN;-0.199821094
6306091;DAHA BARAT;-0.206345864
6306100;DAHA UTARA;-0.193069285
6307010;HARUYAN;-0.233346704
6307020;BATU BENAWA;-0.233613726
6307030;HANTAKAN;-0.22546193
6307040;BATANG ALAI SELATAN;-0.231582027
6307041;BATANG ALAI TIMUR;-0.20795651
6307050;BARABAI;-0.193482383
6307060;LABUAN AMAS SELATAN;-0.210430131
6307070;LABUAN AMAS UTARA;-0.235552339
6307080;PANDAWAN;-0.216306983
6307090;BATANG ALAI UTARA;-0.231497626
6307091;LIMPASU;-0.223471039
6308010;DANAU PANGGANG;-0.215466059
6308011;PAMINGGIR;-0.147262736
6308020;BABIRIK;-0.239071241
6308030;SUNGAI PANDAN;-0.234717361
6308031;SUNGAI TABUKAN;-0.227530529
6308040;AMUNTAI SELATAN;-0.210637219
6308050;AMUNTAI TENGAH;-0.223851747
6308060;BANJANG;-0.236953609
6308070;AMUNTAI UTARA;-0.194205447
6308071;HAUR GADING;-0.195169415
6309010;BANUA LAWAS;-0.230008321
6309020;PUGAAN;-0.183856261
6309030;KELUA;-0.20357246
6309040;MUARA HARUS;-0.220947033
6309050;TANTA;-0.217094478
6309060;TANJUNG;-0.233104512
6309070;MURUNG PUDAK;-0.200842886
6309080;HARUAI;-0.230319583
6309081;BINTANG ARA;-0.236947951
6309090;UPAU;-0.213950547
6309100;MUARA UYA;-0.230701395
6309110;JARO;-0.215205267
6310010;KUSAN HILIR;-0.18189373
6310020;SUNGAI LOBAN;-0.201493849
6310030;SATUI;-0.207085394
6310031;ANGSANA;-0.202511336
6310040;KUSAN HULU;-0.213383907
6310041;KURANJI;-0.223737314
6310050;BATU LICIN;-0.197433839
6310051;KARANG BINTANG;-0.218888709
6310052;SIMPANG EMPAT;-0.187599005
6310053;MANTEWE;-0.223136281
6311010;LAMPIHONG;-0.23474936
6311020;BATU MANDI;-0.235483714
6311030;AWAYAN;-0.233655509
6311031;TEBING TINGGI;-0.227582395
6311040;PARINGIN;-0.186169725
6311041;PARINGIN SELATAN;-0.226920008
6311050;JUAI;-0.206036582
6311060;HALONG;-0.219129275
6371010;BANJARMASIN SELATAN;-0.146960049
6371020;BANJARMASIN TIMUR;-0.136637451
6371030;BANJARMASIN BARAT;-0.079212688
6371031;BANJARMASIN TENGAH;-0.080607288
6371040;BANJARMASIN UTARA;-0.148586271
6372010;LANDASAN ULIN;-0.173475148
6372011;LIANG ANGGANG;-0.157201348
6372020;CEMPAKA;-0.192634057
6372031;BANJAR BARU UTARA;-0.181395683
6372032;BANJAR BARU SELATAN;-0.160758015
