idkec;nmkec;EVI
6301010;PANYIPATAN;0.268911609
6301020;TAKISUNG;0.260440099
6301030;KURAU;0.205282234
6301031;BUMI MAKMUR;0.191162071
6301040;BATI-BATI;0.287131665
6301050;TAMBANG ULANG;0.31618834
6301060;PELAIHARI;0.334377063
6301061;BAJUIN;0.376635127
6301070;BATU AMPAR;0.358888328
6301080;JORONG;0.300916316
6301090;KINTAP;0.323382659
6302010;PULAU SEMBILAN;0.236634528
6302020;PULAU LAUT BARAT;0.370669838
6302021;PULAU LAUT TANJUNG SELAYAR;0.288757492
6302030;PULAU LAUT SELATAN;0.336010072
6302031;PULAU LAUT KEPULAUAN;0.318326189
6302040;PULAU LAUT TIMUR;0.354618541
6302050;PULAU SEBUKU;0.307729486
6302060;PULAU LAUT UTARA;0.30120347
6302061;PULAU LAUT TENGAH;0.364745625
6302062;PULAU LAUT SIGAM;0.318230487
6302120;KELUMPANG SELATAN;0.32889956
6302121;KELUMPANG HILIR;0.342193475
6302130;KELUMPANG HULU;0.392847178
6302140;HAMPANG;0.360495565
6302150;SUNGAI DURIAN;0.380038344
6302160;KELUMPANG TENGAH;0.365878413
6302161;KELUMPANG BARAT;0.39815119
6302170;KELUMPANG UTARA;0.360288171
6302180;PAMUKAN SELATAN;0.324295417
6302190;SAMPANAHAN;0.354430417
6302200;PAMUKAN UTARA;0.381929811
6302201;PAMUKAN BARAT;0.402701415
6303010;ALUH - ALUH;0.148577035
6303011;BERUNTUNG BARU;0.181531056
6303020;GAMBUT;0.219819327
6303030;KERTAK HANYAR;0.217897123
6303031;TATAH MAKMUR;0.230642402
6303040;SUNGAI TABUK;0.215644005
6303050;MARTAPURA;0.273325031
6303051;MARTAPURA TIMUR;0.223046914
6303052;MARTAPURA BARAT;0.209179891
6303060;ASTAMBUL;0.256075366
6303070;KARANG INTAN;0.367078855
6303080;ARANIO;0.334761737
6303090;SUNGAI PINANG;0.373862265
6303091;PARAMASAN;0.36592873
6303100;PENGARON;0.370779698
6303101;SAMBUNG MAKMUR;0.353798637
6303110;MATARAMAN;0.326274444
6303120;SIMPANG EMPAT;0.332280797
6303121;TELAGA BAUNTUNG;0.349543076
6303122;CINTAPURI DARUSSALAM;0.252130547
6304010;TABUNGANEN;0.156907448
6304020;TAMBAN;0.259326813
6304030;MEKAR SARI;0.280995264
6304040;ANJIR PASAR;0.256653453
6304050;ANJIR MUARA;0.234130626
6304060;ALALAK;0.240399991
6304070;MANDASTANA;0.244433504
6304071;JEJANGKIT;0.256637658
6304080;BELAWANG;0.269729902
6304090;WANARAYA;0.398623297
6304100;BARAMBAI;0.350891361
6304110;RANTAU BADAUH;0.267471795
6304120;CERBON;0.288506674
6304130;BAKUMPAI;0.27453727
6304140;MARABAHAN;0.367676899
6304150;TABUKAN;0.338420607
6304160;KURIPAN;0.28627744
6305010;BINUANG;0.300802785
6305011;HATUNGUN;0.347866924
6305020;TAPIN SELATAN;0.290484544
6305021;SALAM BABARIS;0.318459675
6305030;TAPIN TENGAH;0.328460739
6305040;BUNGUR;0.312969692
6305050;PIANI;0.359798112
6305060;LOKPAIKAT;0.279702453
6305070;TAPIN UTARA;0.283089151
6305080;BAKARANGAN;0.290981379
6305090;CANDI LARAS SELATAN;0.275749087
6305100;CANDI LARAS UTARA;0.328483418
6306010;PADANG BATUNG;0.370442257
6306020;LOKSADO;0.344622111
6306030;TELAGA LANGSAT;0.367811492
6306040;ANGKINANG;0.311362017
6306050;KANDANGAN;0.390723286
6306060;SUNGAI RAYA;0.30138446
6306070;SIMPUR;0.321285989
6306080;KALUMPANG;0.291703362
6306090;DAHA SELATAN;0.311414625
6306091;DAHA BARAT;0.321879322
6306100;DAHA UTARA;0.304181333
6307010;HARUYAN;0.370514721
6307020;BATU BENAWA;0.358783771
6307030;HANTAKAN;0.360523787
6307040;BATANG ALAI SELATAN;0.35234503
6307041;BATANG ALAI TIMUR;0.323714407
6307050;BARABAI;0.294616391
6307060;LABUAN AMAS SELATAN;0.328999417
6307070;LABUAN AMAS UTARA;0.383840338
6307080;PANDAWAN;0.339389581
6307090;BATANG ALAI UTARA;0.36096961
6307091;LIMPASU;0.347712296
6308010;DANAU PANGGANG;0.334650122
6308011;PAMINGGIR;0.232241201
6308020;BABIRIK;0.3791962
6308030;SUNGAI PANDAN;0.373229411
6308031;SUNGAI TABUKAN;0.349253327
6308040;AMUNTAI SELATAN;0.329995429
6308050;AMUNTAI TENGAH;0.351559449
6308060;BANJANG;0.363703353
6308070;AMUNTAI UTARA;0.299216384
6308071;HAUR GADING;0.30533264
6309010;BANUA LAWAS;0.357758134
6309020;PUGAAN;0.281120831
6309030;KELUA;0.322273183
6309040;MUARA HARUS;0.343552404
6309050;TANTA;0.335244106
6309060;TANJUNG;0.365697001
6309070;MURUNG PUDAK;0.299671682
6309080;HARUAI;0.359117068
6309081;BINTANG ARA;0.381899097
6309090;UPAU;0.333686684
6309100;MUARA UYA;0.371978559
6309110;JARO;0.358847733
6310010;KUSAN HILIR;0.274239346
6310020;SUNGAI LOBAN;0.306520319
6310030;SATUI;0.326706549
6310031;ANGSANA;0.310301087
6310040;KUSAN HULU;0.333704374
6310041;KURANJI;0.359853288
6310050;BATU LICIN;0.314138565
6310051;KARANG BINTANG;0.35922158
6310052;SIMPANG EMPAT;0.304028769
6310053;MANTEWE;0.362636981
6311010;LAMPIHONG;0.356919778
6311020;BATU MANDI;0.361855939
6311030;AWAYAN;0.357935311
6311031;TEBING TINGGI;0.357191972
6311040;PARINGIN;0.270676513
6311041;PARINGIN SELATAN;0.345317319
6311050;JUAI;0.310198064
6311060;HALONG;0.348912605
6371010;BANJARMASIN SELATAN;0.210257532
6371020;BANJARMASIN TIMUR;0.196554129
6371030;BANJARMASIN BARAT;0.116730064
6371031;BANJARMASIN TENGAH;0.116310574
6371040;BANJARMASIN UTARA;0.216754139
6372010;LANDASAN ULIN;0.251116491
6372011;LIANG ANGGANG;0.224238109
6372020;CEMPAKA;0.285128406
6372031;BANJAR BARU UTARA;0.266577694
6372032;BANJAR BARU SELATAN;0.239202382
