idkec;nmkec;SAVI
6301010;PANYIPATAN;0.327605136
6301020;TAKISUNG;0.339742707
6301030;KURAU;0.283871506
6301031;BUMI MAKMUR;0.261834283
6301040;BATI-BATI;0.339148569
6301050;TAMBANG ULANG;0.378272697
6301060;PELAIHARI;0.398370309
6301061;BAJUIN;0.426817319
6301070;BATU AMPAR;0.385963879
6301080;JORONG;0.345419899
6301090;KINTAP;0.364326761
6302010;PULAU SEMBILAN;0.307838667
6302020;PULAU LAUT BARAT;0.379287646
6302021;PULAU LAUT TANJUNG SELAYAR;0.31715819
6302030;PULAU LAUT SELATAN;0.357104561
6302031;PULAU LAUT KEPULAUAN;0.343479479
6302040;PULAU LAUT TIMUR;0.372584192
6302050;PULAU SEBUKU;0.376558506
6302060;PULAU LAUT UTARA;0.332567632
6302061;PULAU LAUT TENGAH;0.392964447
6302062;PULAU LAUT SIGAM;0.352081528
6302120;KELUMPANG SELATAN;0.372655297
6302121;KELUMPANG HILIR;0.376575694
6302130;KELUMPANG HULU;0.455058641
6302140;HAMPANG;0.404273238
6302150;SUNGAI DURIAN;0.412998913
6302160;KELUMPANG TENGAH;0.420609856
6302161;KELUMPANG BARAT;0.439656043
6302170;KELUMPANG UTARA;0.401140436
6302180;PAMUKAN SELATAN;0.368644818
6302190;SAMPANAHAN;0.38387909
6302200;PAMUKAN UTARA;0.398571545
6302201;PAMUKAN BARAT;0.438504104
6303010;ALUH - ALUH;0.207221912
6303011;BERUNTUNG BARU;0.248867409
6303020;GAMBUT;0.288979577
6303030;KERTAK HANYAR;0.285987648
6303031;TATAH MAKMUR;0.296457563
6303040;SUNGAI TABUK;0.294441921
6303050;MARTAPURA;0.335195639
6303051;MARTAPURA TIMUR;0.298611915
6303052;MARTAPURA BARAT;0.284006795
6303060;ASTAMBUL;0.323307083
6303070;KARANG INTAN;0.43051796
6303080;ARANIO;0.392489981
6303090;SUNGAI PINANG;0.417450019
6303091;PARAMASAN;0.407549622
6303100;PENGARON;0.417787583
6303101;SAMBUNG MAKMUR;0.40978882
6303110;MATARAMAN;0.374672792
6303120;SIMPANG EMPAT;0.392629684
6303121;TELAGA BAUNTUNG;0.399778836
6303122;CINTAPURI DARUSSALAM;0.319872649
6304010;TABUNGANEN;0.227993897
6304020;TAMBAN;0.333200655
6304030;MEKAR SARI;0.364202139
6304040;ANJIR PASAR;0.344204651
6304050;ANJIR MUARA;0.32888972
6304060;ALALAK;0.309249792
6304070;MANDASTANA;0.329824664
6304071;JEJANGKIT;0.333166053
6304080;BELAWANG;0.347090441
6304090;WANARAYA;0.451705102
6304100;BARAMBAI;0.419371512
6304110;RANTAU BADAUH;0.346367897
6304120;CERBON;0.359229981
6304130;BAKUMPAI;0.352400008
6304140;MARABAHAN;0.433125974
6304150;TABUKAN;0.407847781
6304160;KURIPAN;0.355446079
6305010;BINUANG;0.366689059
6305011;HATUNGUN;0.393976812
6305020;TAPIN SELATAN;0.352436068
6305021;SALAM BABARIS;0.367205117
6305030;TAPIN TENGAH;0.392795803
6305040;BUNGUR;0.364044151
6305050;PIANI;0.397604151
6305060;LOKPAIKAT;0.334218847
6305070;TAPIN UTARA;0.33645294
6305080;BAKARANGAN;0.373547037
6305090;CANDI LARAS SELATAN;0.356041191
6305100;CANDI LARAS UTARA;0.396227306
6306010;PADANG BATUNG;0.422964809
6306020;LOKSADO;0.391378919
6306030;TELAGA LANGSAT;0.415020455
6306040;ANGKINANG;0.36350135
6306050;KANDANGAN;0.435518383
6306060;SUNGAI RAYA;0.368399914
6306070;SIMPUR;0.378871094
6306080;KALUMPANG;0.352014786
6306090;DAHA SELATAN;0.367356799
6306091;DAHA BARAT;0.373864716
6306100;DAHA UTARA;0.354228563
6307010;HARUYAN;0.423661169
6307020;BATU BENAWA;0.421288043
6307030;HANTAKAN;0.402210647
6307040;BATANG ALAI SELATAN;0.418479412
6307041;BATANG ALAI TIMUR;0.36799115
6307050;BARABAI;0.34213448
6307060;LABUAN AMAS SELATAN;0.378897784
6307070;LABUAN AMAS UTARA;0.432349109
6307080;PANDAWAN;0.39716557
6307090;BATANG ALAI UTARA;0.415729232
6307091;LIMPASU;0.401329374
6308010;DANAU PANGGANG;0.407755246
6308011;PAMINGGIR;0.300116248
6308020;BABIRIK;0.440751008
6308030;SUNGAI PANDAN;0.439654559
6308031;SUNGAI TABUKAN;0.436587259
6308040;AMUNTAI SELATAN;0.39786574
6308050;AMUNTAI TENGAH;0.41773997
6308060;BANJANG;0.430368312
6308070;AMUNTAI UTARA;0.371278946
6308071;HAUR GADING;0.374803512
6309010;BANUA LAWAS;0.427319999
6309020;PUGAAN;0.353771141
6309030;KELUA;0.37169473
6309040;MUARA HARUS;0.403877677
6309050;TANTA;0.38871525
6309060;TANJUNG;0.417939952
6309070;MURUNG PUDAK;0.348145617
6309080;HARUAI;0.408883029
6309081;BINTANG ARA;0.424871047
6309090;UPAU;0.381906626
6309100;MUARA UYA;0.413431054
6309110;JARO;0.382530507
6310010;KUSAN HILIR;0.335384004
6310020;SUNGAI LOBAN;0.361075331
6310030;SATUI;0.37079422
6310031;ANGSANA;0.35702423
6310040;KUSAN HULU;0.3813605
6310041;KURANJI;0.397305526
6310050;BATU LICIN;0.361092221
6310051;KARANG BINTANG;0.388252467
6310052;SIMPANG EMPAT;0.33934935
6310053;MANTEWE;0.39612629
6311010;LAMPIHONG;0.42862277
6311020;BATU MANDI;0.423294302
6311030;AWAYAN;0.423008928
6311031;TEBING TINGGI;0.407492893
6311040;PARINGIN;0.322875481
6311041;PARINGIN SELATAN;0.408079866
6311050;JUAI;0.365663292
6311060;HALONG;0.39339812
6371010;BANJARMASIN SELATAN;0.262733499
6371020;BANJARMASIN TIMUR;0.23776968
6371030;BANJARMASIN BARAT;0.128498887
6371031;BANJARMASIN TENGAH;0.125370263
6371040;BANJARMASIN UTARA;0.257348689
6372010;LANDASAN ULIN;0.302154988
6372011;LIANG ANGGANG;0.280480692
6372020;CEMPAKA;0.337855158
6372031;BANJAR BARU UTARA;0.309246034
6372032;BANJAR BARU SELATAN;0.268404206
