idkec;nmkec;NO2_column_number_density
1601052;LENGKITI;4.29E-05
1601070;SOSOH BUAY RAYAP;4.46E-05
1601080;PENGANDONAN;4.39E-05
1601081;SEMIDANG AJI;4.47E-05
1601082;ULU OGAN;4.13E-05
1601083;MUARA JAYA;4.33E-05
1601090;PENINJAUAN;4.50E-05
1601091;LUBUK BATANG;4.49E-05
1601092;SINAR PENINJAUAN;4.51E-05
1601093;KEDATON PENINJAUAN RAYA;4.49E-05
1601130;BATU RAJA TIMUR;4.59E-05
1601131;LUBUK RAJA;4.52E-05
1601140;BATU RAJA BARAT;4.69E-05
1602010;LEMPUING;4.40E-05
1602011;LEMPUING JAYA;4.39E-05
1602020;MESUJI;4.34E-05
1602021;SUNGAI MENANG;4.25E-05
1602022;MESUJI MAKMUR;4.42E-05
1602023;MESUJI RAYA;4.30E-05
1602030;TULUNG SELAPAN;4.13E-05
1602031;CENGAL;4.15E-05
1602040;PEDAMARAN;4.39E-05
1602041;PEDAMARAN TIMUR;4.25E-05
1602050;TANJUNG LUBUK;4.46E-05
1602051;TELUK GELAM;4.43E-05
1602060;KOTA KAYU AGUNG;4.42E-05
1602120;SIRAH PULAU PADANG;4.52E-05
1602121;JEJAWI;4.55E-05
1602130;PAMPANGAN;4.37E-05
1602131;PANGKALAN LAPAM;4.24E-05
1602140;AIR SUGIHAN;4.23E-05
1603010;SEMENDO DARAT LAUT;4.11E-05
1603011;SEMENDO DARAT ULU;3.88E-05
1603012;SEMENDO DARAT TENGAH;3.92E-05
1603020;TANJUNG AGUNG;4.56E-05
1603021;PANANG ENIM;4.22E-05
1603031;RAMBANG;4.42E-05
1603032;LUBAI;4.50E-05
1603033;LUBAI ULU;4.47E-05
1603040;LAWANG KIDUL;5.01E-05
1603050;MUARA ENIM;4.74E-05
1603051;UJAN MAS;4.47E-05
1603060;GUNUNG MEGANG;4.53E-05
1603061;BENAKAT;4.41E-05
1603062;BELIMBING;4.69E-05
1603070;RAMBANG NIRU;4.48E-05
1603071;EMPAT PETULAI DANGKU;4.86E-05
1603090;GELUMBANG;4.46E-05
1603091;LEMBAK;4.46E-05
1603092;SUNGAI ROTAN;4.46E-05
1603093;MUARA BELIDA;4.67E-05
1603094;KELEKAR;4.49E-05
1603095;BELIDA DARAT;4.44E-05
1604011;TANJUNG SAKTI PUMI;3.98E-05
1604012;TANJUNG SAKTI PUMU;3.78E-05
1604040;KOTA AGUNG;4.10E-05
1604041;MULAK ULU;4.16E-05
1604042;TANJUNG TEBAT;4.29E-05
1604043;MULAK SEBINGKAI;4.34E-05
1604050;PULAU PINANG;4.44E-05
1604051;PAGAR GUNUNG;4.44E-05
1604052;GUMAY ULU;4.10E-05
1604060;JARAI;3.95E-05
1604061;PAJAR BULAN;3.95E-05
1604062;MUARA PAYANG;4.04E-05
1604063;SUKAMERINDU;4.00E-05
1604111;KIKIM BARAT;4.26E-05
1604112;KIKIM TIMUR;4.37E-05
1604113;KIKIM SELATAN;4.35E-05
1604114;KIKIM TENGAH;4.34E-05
1604120;LAHAT;4.72E-05
1604121;GUMAY TALANG;4.43E-05
1604122;PSEKSU;4.34E-05
1604123;LAHAT SELATAN;4.65E-05
1604131;MERAPI BARAT;5.21E-05
1604132;MERAPI TIMUR;4.81E-05
1604133;MERAPI SELATAN;4.73E-05
1605030;SUKU TENGAH LAKITAN ULU;4.05E-05
1605031;SELANGIT;4.13E-05
1605032;SUMBER HARTA;4.19E-05
1605040;TUGUMULYO;4.27E-05
1605041;PURWODADI;4.26E-05
1605050;MUARA BELITI;4.28E-05
1605051;TIANG PUMPUNG KEPUNGUT;4.28E-05
1605060;JAYALOKA;4.30E-05
1605061;SUKA KARYA;4.33E-05
1605070;MUARA KELINGI;4.27E-05
1605071;BULANG TENGAH SUKU ULU;4.31E-05
1605072;TUAH NEGERI;4.30E-05
1605080;MUARA LAKITAN;4.29E-05
1605090;MEGANG SAKTI;4.23E-05
1606010;SANGA DESA;4.26E-05
1606020;BABAT TOMAN;4.27E-05
1606021;BATANGHARI LEKO;4.23E-05
1606022;PLAKAT TINGGI;4.27E-05
1606023;LAWANG WETAN;4.29E-05
1606030;SUNGAI KERUH;4.34E-05
1606031;JIRAK JAYA;4.35E-05
1606040;SEKAYU;4.34E-05
1606041;LAIS;4.40E-05
1606090;SUNGAI LILIN;4.35E-05
1606091;KELUANG;4.31E-05
1606092;BABAT SUPAT;4.35E-05
1606100;BAYUNG LENCIR;4.25E-05
1606101;LALAN;4.29E-05
1606102;TUNGKAL JAYA;4.26E-05
1607010;RANTAU BAYUR;4.52E-05
1607020;BETUNG;4.40E-05
1607021;SUAK TAPEH;4.44E-05
1607030;PULAU RIMAU;4.39E-05
1607031;TUNGKAL ILIR;4.33E-05
1607032;SELAT PENUGUAN;4.34E-05
1607040;BANYUASIN III;4.42E-05
1607041;SEMBAWA;4.56E-05
1607050;TALANG KELAPA;4.71E-05
1607051;TANJUNG LAGO;4.41E-05
1607060;BANYUASIN I;4.61E-05
1607061;AIR KUMBANG;4.29E-05
1607070;RAMBUTAN;4.48E-05
1607080;MUARA PADANG;4.28E-05
1607081;MUARA SUGIHAN;4.28E-05
1607090;MAKARTI JAYA;4.36E-05
1607091;AIR SALEK;4.34E-05
1607100;BANYUASIN II;4.22E-05
1607101;KARANG AGUNG ILIR;4.19E-05
1607110;MUARA TELANG;4.38E-05
1607111;SUMBER MARGA TELANG;4.27E-05
1608010;MEKAKAU ILIR;4.11E-05
1608020;BANDING AGUNG;4.14E-05
1608021;WARKUK RANAU SELATAN;4.17E-05
1608022;BUAY PEMATANG RIBU RANAU TENGAH;4.30E-05
1608030;BUAY PEMACA;4.40E-05
1608040;SIMPANG;4.41E-05
1608041;BUANA PEMACA;4.39E-05
1608050;MUARADUA;4.32E-05
1608051;BUAY RAWAN;4.34E-05
1608060;BUAY SANDANG AJI;4.10E-05
1608061;TIGA DIHAJI;4.25E-05
1608070;BUAY RUNJUNG;4.00E-05
1608071;RUNJUNG AGUNG;4.09E-05
1608080;KISAM TINGGI;3.95E-05
1608090;MUARADUA KISAM;3.87E-05
1608091;KISAM ILIR;3.81E-05
1608100;PULAU BERINGIN;3.84E-05
1608101;SINDANG DANAU;3.76E-05
1608102;SUNGAI ARE;3.79E-05
1609010;MARTAPURA;4.60E-05
1609011;BUNGA MAYANG;4.52E-05
1609012;JAYA PURA;4.44E-05
1609020;BUAY PEMUKA PELIUNG;4.56E-05
1609030;BUAY MADANG;4.61E-05
1609031;BUAY MADANG TIMUR;4.51E-05
1609032;BUAY PEMUKA BANGSA RAJA;4.50E-05
1609040;MADANG SUKU II;4.55E-05
1609041;MADANG SUKU III;4.54E-05
1609050;MADANG SUKU I;4.51E-05
1609051;BELITANG MADANG RAYA;4.57E-05
1609060;BELITANG;4.58E-05
1609061;BELITANG JAYA;4.53E-05
1609070;BELITANG III;4.49E-05
1609080;BELITANG II;4.44E-05
1609081;BELITANG MULYA;4.54E-05
1609090;SEMENDAWAI SUKU III;4.53E-05
1609091;SEMENDAWAI TIMUR;4.47E-05
1609100;CEMPAKA;4.46E-05
1609101;SEMENDAWAI BARAT;4.47E-05
1610010;MUARA KUANG;4.49E-05
1610011;RAMBANG KUANG;4.48E-05
1610012;LUBUK KELIAT;4.46E-05
1610020;TANJUNG BATU;4.55E-05
1610021;PAYARAMAN;4.45E-05
1610030;RANTAU ALAI;4.42E-05
1610031;KANDIS;4.43E-05
1610040;TANJUNG RAJA;4.50E-05
1610041;RANTAU PANJANG;4.61E-05
1610042;SUNGAI PINANG;4.53E-05
1610050;PEMULUTAN;4.79E-05
1610051;PEMULUTAN SELATAN;4.61E-05
1610052;PEMULUTAN BARAT;4.65E-05
1610060;INDRALAYA;4.67E-05
1610061;INDRALAYA UTARA;4.66E-05
1610062;INDRALAYA SELATAN;4.57E-05
1611010;MUARA PINANG;4.23E-05
1611020;LINTANG KANAN;4.30E-05
1611030;PENDOPO;4.29E-05
1611031;PENDOPO BARAT;4.06E-05
1611040;PASEMAH AIR KERUH;4.25E-05
1611050;ULU MUSI;4.01E-05
1611051;SIKAP DALAM;4.16E-05
1611060;TALANG PADANG;3.86E-05
1611070;TEBING TINGGI;4.17E-05
1611071;SALING;4.24E-05
1612010;TALANG UBI;4.48E-05
1612020;TANAH ABANG;4.61E-05
1612030;ABAB;4.46E-05
1612040;PENUKAL;4.46E-05
1612050;PENUKAL UTARA;4.45E-05
1613010;ULU RAWAS;3.93E-05
1613020;KARANG JAYA;4.11E-05
1613030;RAWAS ULU;4.14E-05
1613040;RUPIT;4.19E-05
1613050;KARANG DAPO;4.19E-05
1613060;RAWAS ILIR;4.23E-05
1613070;NIBUNG;4.17E-05
1671010;ILIR BARAT II;5.27E-05
1671011;GANDUS;4.90E-05
1671020;SEBERANG ULU I;5.26E-05
1671021;KERTAPATI;5.01E-05
1671022;JAKABARING;5.12E-05
1671030;SEBERANG ULU II;5.34E-05
1671031;PLAJU;5.06E-05
1671040;ILIR BARAT I;5.05E-05
1671041;BUKIT KECIL;5.45E-05
1671050;ILIR TIMUR I;5.51E-05
1671051;KEMUNING;5.55E-05
1671060;ILIR TIMUR II;5.50E-05
1671061;KALIDONI;5.28E-05
1671062;ILIR TIMUR TIGA;5.61E-05
1671070;SAKO;5.28E-05
1671071;SEMATANG BORANG;5.22E-05
1671080;SUKARAMI;5.18E-05
1671081;ALANG ALANG LEBAR;5.16E-05
1672010;RAMBANG KAPAK TENGAH;4.59E-05
1672020;PRABUMULIH TIMUR;4.56E-05
1672021;PRABUMULIH SELATAN;4.57E-05
1672030;PRABUMULIH BARAT;4.70E-05
1672031;PRABUMULIH UTARA;4.69E-05
1672040;CAMBAI;4.54E-05
1673010;DEMPO SELATAN;4.07E-05
1673011;DEMPO TENGAH;4.06E-05
1673020;DEMPO UTARA;3.95E-05
1673030;PAGAR ALAM SELATAN;3.83E-05
1673040;PAGAR ALAM UTARA;3.91E-05
1674011;LUBUK LINGGAU BARAT I;4.24E-05
1674012;LUBUK LINGGAU BARAT II;4.30E-05
1674021;LUBUK LINGGAU SELATAN I;4.23E-05
1674022;LUBUK LINGGAU SELATAN II;4.31E-05
1674031;LUBUK LINGGAU TIMUR I;4.29E-05
1674032;LUBUK LINGGAU TIMUR II;4.25E-05
1674041;LUBUK LINGGAU UTARA I;4.26E-05
1674042;LUBUK LINGGAU UTARA II;4.33E-05
