idkec;nmkec;mean
6301010;PANYIPATAN;36.7724783
6301020;TAKISUNG;38.24343294
6301030;KURAU;41.15398183
6301031;BUMI MAKMUR;42.61253701
6301040;BATI-BATI;42.54209353
6301050;TAMBANG ULANG;40.87587974
6301060;PELAIHARI;39.86965632
6301061;BAJUIN;43.03089725
6301070;BATU AMPAR;42.39118141
6301080;JORONG;38.88608903
6301090;KINTAP;40.60264195
6302010;PULAU SEMBILAN;38.70146879
6302020;PULAU LAUT BARAT;38.58333149
6302021;PULAU LAUT TANJUNG SELAYAR;35.0010283
6302030;PULAU LAUT SELATAN;38.64115846
6302031;PULAU LAUT KEPULAUAN;37.04310724
6302040;PULAU LAUT TIMUR;43.5932971
6302050;PULAU SEBUKU;40.98730386
6302060;PULAU LAUT UTARA;49.36931361
6302061;PULAU LAUT TENGAH;43.43955797
6302062;PULAU LAUT SIGAM;47.74267083
6302120;KELUMPANG SELATAN;46.90036115
6302121;KELUMPANG HILIR;47.32578536
6302130;KELUMPANG HULU;45.4854711
6302140;HAMPANG;46.10398699
6302150;SUNGAI DURIAN;44.49292245
6302160;KELUMPANG TENGAH;45.94271823
6302161;KELUMPANG BARAT;44.6685214
6302170;KELUMPANG UTARA;43.47232342
6302180;PAMUKAN SELATAN;43.74613674
6302190;SAMPANAHAN;44.78957963
6302200;PAMUKAN UTARA;45.08231069
6302201;PAMUKAN BARAT;44.8774296
6303010;ALUH - ALUH;42.63683674
6303011;BERUNTUNG BARU;43.86174209
6303020;GAMBUT;44.41340806
6303030;KERTAK HANYAR;44.182277
6303031;TATAH MAKMUR;43.728738
6303040;SUNGAI TABUK;43.99060056
6303050;MARTAPURA;41.7849625
6303051;MARTAPURA TIMUR;41.83406976
6303052;MARTAPURA BARAT;42.39938382
6303060;ASTAMBUL;42.21351656
6303070;KARANG INTAN;43.42249625
6303080;ARANIO;45.2599852
6303090;SUNGAI PINANG;43.5688656
6303091;PARAMASAN;45.23252979
6303100;PENGARON;43.12873174
6303101;SAMBUNG MAKMUR;42.69238304
6303110;MATARAMAN;42.30458965
6303120;SIMPANG EMPAT;42.0815414
6303121;TELAGA BAUNTUNG;43.37543639
6303122;CINTAPURI DARUSSALAM;43.2141403
6304010;TABUNGANEN;41.65033318
6304020;TAMBAN;42.26400961
6304030;MEKAR SARI;41.94299659
6304040;ANJIR PASAR;42.91139164
6304050;ANJIR MUARA;42.41274314
6304060;ALALAK;42.97411489
6304070;MANDASTANA;43.25261591
6304071;JEJANGKIT;42.55767785
6304080;BELAWANG;43.61195753
6304090;WANARAYA;43.3486324
6304100;BARAMBAI;43.01243042
6304110;RANTAU BADAUH;43.35224964
6304120;CERBON;42.77463139
6304130;BAKUMPAI;42.84691071
6304140;MARABAHAN;42.81155603
6304150;TABUKAN;42.92532532
6304160;KURIPAN;42.46560288
6305010;BINUANG;42.80307004
6305011;HATUNGUN;43.60035522
6305020;TAPIN SELATAN;42.99568284
6305021;SALAM BABARIS;42.69723236
6305030;TAPIN TENGAH;43.89073259
6305040;BUNGUR;43.77905733
6305050;PIANI;45.82369767
6305060;LOKPAIKAT;44.37685257
6305070;TAPIN UTARA;44.3684902
6305080;BAKARANGAN;44.05217699
6305090;CANDI LARAS SELATAN;43.73289558
6305100;CANDI LARAS UTARA;42.78104679
6306010;PADANG BATUNG;43.70894011
6306020;LOKSADO;47.64970657
6306030;TELAGA LANGSAT;42.87348148
6306040;ANGKINANG;43.03768642
6306050;KANDANGAN;42.96740138
6306060;SUNGAI RAYA;43.76362128
6306070;SIMPUR;43.67295988
6306080;KALUMPANG;43.61002989
6306090;DAHA SELATAN;42.81277391
6306091;DAHA BARAT;42.61047597
6306100;DAHA UTARA;42.70688786
6307010;HARUYAN;42.88148272
6307020;BATU BENAWA;42.36575549
6307030;HANTAKAN;46.06486938
6307040;BATANG ALAI SELATAN;42.28971017
6307041;BATANG ALAI TIMUR;46.33962539
6307050;BARABAI;42.19483995
6307060;LABUAN AMAS SELATAN;42.3198747
6307070;LABUAN AMAS UTARA;42.21397756
6307080;PANDAWAN;41.92062487
6307090;BATANG ALAI UTARA;41.79506403
6307091;LIMPASU;42.13236813
6308010;DANAU PANGGANG;42.45241853
6308011;PAMINGGIR;42.42211113
6308020;BABIRIK;42.5442554
6308030;SUNGAI PANDAN;42.44625857
6308031;SUNGAI TABUKAN;42.21143402
6308040;AMUNTAI SELATAN;43.45510127
6308050;AMUNTAI TENGAH;42.07018651
6308060;BANJANG;41.79627799
6308070;AMUNTAI UTARA;42.62750529
6308071;HAUR GADING;43.28828022
6309010;BANUA LAWAS;44.27740364
6309020;PUGAAN;42.95287795
6309030;KELUA;44.00579345
6309040;MUARA HARUS;43.87138534
6309050;TANTA;43.39258822
6309060;TANJUNG;45.15413534
6309070;MURUNG PUDAK;44.37445624
6309080;HARUAI;45.63659263
6309081;BINTANG ARA;46.79649412
6309090;UPAU;47.33098332
6309100;MUARA UYA;46.0449844
6309110;JARO;48.94185631
6310010;KUSAN HILIR;43.42186305
6310020;SUNGAI LOBAN;41.35691227
6310030;SATUI;42.91861405
6310031;ANGSANA;40.67202149
6310040;KUSAN HULU;45.95963237
6310041;KURANJI;43.31493868
6310050;BATU LICIN;44.78583079
6310051;KARANG BINTANG;46.02255905
6310052;SIMPANG EMPAT;47.42293543
6310053;MANTEWE;46.22728203
6311010;LAMPIHONG;42.44496628
6311020;BATU MANDI;41.94675434
6311030;AWAYAN;41.29818807
6311031;TEBING TINGGI;44.75990832
6311040;PARINGIN;42.75641402
6311041;PARINGIN SELATAN;41.98287407
6311050;JUAI;42.14569979
6311060;HALONG;45.75221081
6371010;BANJARMASIN SELATAN;43.50286371
6371020;BANJARMASIN TIMUR;43.77898872
6371030;BANJARMASIN BARAT;43.56300278
6371031;BANJARMASIN TENGAH;43.60843461
6371040;BANJARMASIN UTARA;43.46605365
6372010;LANDASAN ULIN;43.27255739
6372011;LIANG ANGGANG;44.87449909
6372020;CEMPAKA;42.83642968
6372031;BANJAR BARU UTARA;42.18778115
6372032;BANJAR BARU SELATAN;42.30316025
