idkec;nmkec;Trees;Grassland;Cropland;Built-up;Shrubland;Barren Sparse Vegetation;Open Water;Herbaceous Wetland;Mangroves
1601052;LENGKITI;0.9889;0.0089;0.0023;0;0;0;0;0;0
1601070;SOSOH BUAY RAYAP;0.9804;0.0121;0.0045;0.003;0;0;0;0;0
1601080;PENGANDONAN;0.9842;0;0.0158;0;0;0;0;0;0
1601081;SEMIDANG AJI;0.9975;0;0.0025;0;0;0;0;0;0
1601082;ULU OGAN;0.9901;0.0099;0;0;0;0;0;0;0
1601083;MUARA JAYA;0.9971;0;0.0029;0;0;0;0;0;0
1601090;PENINJAUAN;1;0;0;0;0;0;0;0;0
1601091;LUBUK BATANG;0.9981;0.0019;0;0;0;0;0;0;0
1601092;SINAR PENINJAUAN;0.9691;0;0.0309;0;0;0;0;0;0
1601093;KEDATON PENINJAUAN RAYA;0.9934;0;0.002;0;0;0;0.0047;0;0
1601130;BATU RAJA TIMUR;0.9282;0.0089;0;0.0492;0;0.0136;0;0;0
1601131;LUBUK RAJA;1;0;0;0;0;0;0;0;0
1601140;BATU RAJA BARAT;0.9881;0;0;0.0117;0;0.0002;0;0;0
1602010;LEMPUING;0.7306;0;0.2627;0.0067;0;0;0;0;0
1602011;LEMPUING JAYA;0.8443;0.0178;0.1339;0.002;0;0.002;0;0;0
1602020;MESUJI;0.8584;0.1314;0.0062;0.0009;0.0031;0;0;0;0
1602021;SUNGAI MENANG;0.5012;0.229;0.0712;0.0004;0.0553;0.0363;0.0676;0.0287;0.0103
1602022;MESUJI MAKMUR;0.9986;0;0.0014;0;0;0;0;0;0
1602023;MESUJI RAYA;0.899;0.0651;0.0303;0;0;0.0056;0;0;0
1602030;TULUNG SELAPAN;0.4423;0.189;0.127;0.0005;0.0658;0.1185;0.0164;0.0091;0.0313
1602031;CENGAL;0.5809;0.1916;0.0405;0.0006;0.0875;0.0333;0.0255;0.0196;0.0205
1602040;PEDAMARAN;0.7681;0.14;0.0344;0.0052;0.0139;0.0097;0.0103;0.0184;0
1602041;PEDAMARAN TIMUR;0.8463;0.0926;0.0045;0;0.0447;0.0107;0;0.0013;0
1602050;TANJUNG LUBUK;0.8681;0.0468;0.085;0;0;0;0;0;0
1602051;TELUK GELAM;0.894;0.0299;0.0701;0;0;0;0.006;0;0
1602060;KOTA KAYU AGUNG;0.7139;0.1372;0.0886;0.0045;0.006;0.0187;0.0176;0.0133;0
1602120;SIRAH PULAU PADANG;0.3182;0.1552;0.4284;0.0175;0.007;0;0;0.0737;0
1602121;JEJAWI;0.2801;0.1727;0.4749;0.0128;0;0.0128;0.0006;0.046;0
1602130;PAMPANGAN;0.4844;0.1968;0.086;0.0021;0.0535;0.0041;0.0087;0.1644;0
1602131;PANGKALAN LAPAM;0.6284;0.2198;0.0675;0;0.0467;0.0169;0.0034;0.0173;0
1602140;AIR SUGIHAN;0.4374;0.1406;0.1289;0.0009;0.0703;0.1217;0.0053;0.0026;0.0922
1603010;SEMENDO DARAT LAUT;0.9831;0.0087;0.0041;0.0041;0;0;0;0;0
1603011;SEMENDO DARAT ULU;0.9039;0.0663;0.0279;0;0.0018;0;0;0;0
1603012;SEMENDO DARAT TENGAH;0.8019;0.1527;0.0454;0;0;0;0;0;0
1603020;TANJUNG AGUNG;0.9656;0.0137;0.0068;0.0023;0;0.0093;0.0023;0;0
1603021;PANANG ENIM;0.996;0.004;0;0;0;0;0;0;0
1603031;RAMBANG;0.9921;0.0079;0;0;0;0;0;0;0
1603032;LUBAI;0.9979;0;0;0.0021;0;0;0;0;0
1603033;LUBAI ULU;0.9942;0.0039;0;0;0;0.0019;0;0;0
1603040;LAWANG KIDUL;0.8632;0.0187;0;0.0149;0;0.0936;0.0097;0;0
1603050;MUARA ENIM;0.9148;0.0143;0.0323;0.0215;0;0.0129;0.0042;0;0
1603051;UJAN MAS;0.9576;0.0125;0.03;0;0;0;0;0;0
1603060;GUNUNG MEGANG;0.9881;0.0045;0.0045;0;0;0.0005;0.0023;0;0
1603061;BENAKAT;0.994;0.006;0;0;0;0;0;0;0
1603062;BELIMBING;0.9984;0;0;0;0;0.0016;0;0;0
1603070;RAMBANG NIRU;0.9724;0.0148;0;0;0;0.0129;0;0;0
1603071;EMPAT PETULAI DANGKU;0.9093;0;0.0206;0;0;0.0515;0.0186;0;0
1603090;GELUMBANG;0.9499;0.0288;0.003;0.0018;0;0.0109;0;0.0056;0
1603091;LEMBAK;0.9943;0;0;0.0057;0;0;0;0;0
1603092;SUNGAI ROTAN;0.8153;0.1032;0.0535;0.0011;0;0.0164;0.0053;0.0052;0
1603093;MUARA BELIDA;0.3912;0.1993;0.3116;0;0.0161;0.0054;0.0302;0.0462;0
1603094;KELEKAR;0.9777;0.0137;0.0023;0;0;0;0;0.0063;0
1603095;BELIDA DARAT;1;0;0;0;0;0;0;0;0
1604011;TANJUNG SAKTI PUMI;0.9738;0;0.0225;0.0037;0;0;0;0;0
1604012;TANJUNG SAKTI PUMU;0.9811;0;0.0189;0;0;0;0;0;0
1604040;KOTA AGUNG;0.9424;0.0374;0.0201;0;0;0;0;0;0
1604041;MULAK ULU;0.9793;0.0069;0.0138;0;0;0;0;0;0
1604042;TANJUNG TEBAT;0.9152;0.0169;0.0678;0;0;0;0;0;0
1604043;MULAK SEBINGKAI;0.9065;0;0.0935;0;0;0;0;0;0
1604050;PULAU PINANG;1;0;0;0;0;0;0;0;0
1604051;PAGAR GUNUNG;0.9687;0;0.0313;0;0;0;0;0;0
1604052;GUMAY ULU;0.9945;0.0055;0;0;0;0;0;0;0
1604060;JARAI;0.9346;0;0.0654;0;0;0;0;0;0
1604061;PAJAR BULAN;0.9706;0;0.0294;0;0;0;0;0;0
1604062;MUARA PAYANG;0.9805;0;0.0001;0.0194;0;0;0;0;0
1604063;SUKAMERINDU;0.8086;0;0.1914;0;0;0;0;0;0
1604111;KIKIM BARAT;0.9927;0.0073;0;0;0;0;0;0;0
1604112;KIKIM TIMUR;0.9941;0.0056;0.0003;0;0;0;0;0;0
1604113;KIKIM SELATAN;0.9761;0;0.0203;0;0;0.0036;0;0;0
1604114;KIKIM TENGAH;0.9704;0.0119;0.0177;0;0;0;0;0;0
1604120;LAHAT;0.9593;0.005;0.0001;0.0356;0;0;0;0;0
1604121;GUMAY TALANG;1;0;0;0;0;0;0;0;0
1604122;PSEKSU;0.999;0;0.001;0;0;0;0;0;0
1604123;LAHAT SELATAN;0.9581;0;0.0317;0.0102;0;0;0;0;0
1604131;MERAPI BARAT;0.9189;0.0065;0;0.0065;0;0.0682;0;0;0
1604132;MERAPI TIMUR;0.934;0.0144;0.0098;0;0;0.0403;0.0015;0;0
1604133;MERAPI SELATAN;0.9991;0;0.0009;0;0;0;0;0;0
1605030;SUKU TENGAH LAKITAN ULU;0.9861;0.0017;0.0122;0;0;0;0;0;0
1605031;SELANGIT;1;0;0;0;0;0;0;0;0
1605032;SUMBER HARTA;0.8907;0;0.1093;0;0;0;0;0;0
1605040;TUGUMULYO;0.6756;0;0.2918;0.0327;0;0;0;0;0
1605041;PURWODADI;0.7291;0;0.2709;0;0;0;0;0;0
1605050;MUARA BELITI;0.9273;0;0.0702;0.0003;0;0;0.0022;0;0
1605051;TIANG PUMPUNG KEPUNGUT;0.9974;0;0;0;0;0;0.0026;0;0
1605060;JAYALOKA;1;0;0;0;0;0;0;0;0
1605061;SUKA KARYA;0.9845;0;0.001;0;0;0;0.0145;0;0
1605070;MUARA KELINGI;0.9984;0;0.0016;0;0;0;0;0;0
1605071;BULANG TENGAH SUKU ULU;0.9888;0.0063;0.0049;0;0;0;0;0;0
1605072;TUAH NEGERI;1;0;0;0;0;0;0;0;0
1605080;MUARA LAKITAN;0.9811;0.0117;0.0046;0;0;0.0014;0.0012;0;0
1605090;MEGANG SAKTI;0.9569;0;0.0431;0;0;0;0;0;0
1606010;SANGA DESA;0.9485;0.0209;0.0164;0.0016;0;0.0031;0.0079;0.0016;0
1606020;BABAT TOMAN;0.9406;0.0251;0.0113;0.0068;0;0.0045;0.0117;0;0
1606021;BATANGHARI LEKO;0.9957;0.003;0.0012;0;0;0;0;0;0
1606022;PLAKAT TINGGI;0.9986;0;0;0;0;0.0014;0;0;0
1606023;LAWANG WETAN;0.9492;0.0112;0.0126;0;0;0.0025;0.0246;0;0
1606030;SUNGAI KERUH;0.9991;0.0009;0;0;0;0;0;0;0
1606031;JIRAK JAYA;0.9995;0.0005;0;0;0;0;0;0;0
1606040;SEKAYU;0.9338;0.0203;0.0236;0.0056;0;0.0028;0.0111;0.0028;0
1606041;LAIS;0.8776;0.0658;0.021;0.0016;0.0108;0;0.009;0.0141;0
1606090;SUNGAI LILIN;0.9525;0.0316;0.0063;0;0;0.0068;0.0028;0;0
1606091;KELUANG;0.9791;0.0186;0.0022;0;0;0;0;0;0
1606092;BABAT SUPAT;0.8965;0.0699;0.0103;0;0.0035;0.0017;0.0146;0.0035;0
1606100;BAYUNG LENCIR;0.9183;0.0653;0.0077;0.0007;0.0031;0.0036;0.0014;0;0
1606101;LALAN;0.6771;0.0976;0.1733;0;0.0073;0.001;0.0267;0;0.017
1606102;TUNGKAL JAYA;0.9971;0;0.001;0;0;0.0019;0;0;0
1607010;RANTAU BAYUR;0.5813;0.0662;0.1752;0;0.0066;0.0005;0.0712;0.099;0
1607020;BETUNG;0.906;0.073;0.021;0;0;0;0;0;0
1607021;SUAK TAPEH;0.7694;0.1727;0.0517;0.003;0;0.003;0;0;0.0001
1607030;PULAU RIMAU;0.7484;0.2014;0.0251;0;0.0125;0.0002;0.0124;0;0
1607031;TUNGKAL ILIR;0.8589;0.1113;0.0167;0;0;0.0061;0.0071;0;0
1607032;SELAT PENUGUAN;0.5267;0.2036;0.1732;0;0.0184;0;0.0554;0;0.0227
1607040;BANYUASIN III;0.9582;0.0353;0.0031;0.0031;0;0;0;0.0003;0
1607041;SEMBAWA;0.8721;0.104;0.0216;0;0;0;0;0;0.0023
1607050;TALANG KELAPA;0.7934;0.1263;0.0275;0.021;0.0022;0.0132;0.0154;0;0.001
1607051;TANJUNG LAGO;0.5514;0.1624;0.1749;0;0.0013;0.0037;0.0664;0;0.0399
1607060;BANYUASIN I;0.6983;0.0654;0.1278;0.0085;0;0;0.0999;0;0
1607061;AIR KUMBANG;0.8673;0.0948;0.0379;0;0;0;0;0;0
1607070;RAMBUTAN;0.5592;0.251;0.1296;0.0073;0.0252;0.0086;0.0011;0.0179;0
1607080;MUARA PADANG;0.4925;0.3298;0.0863;0;0.0871;0.0006;0.0019;0.0018;0
1607081;MUARA SUGIHAN;0.1799;0.0604;0.396;0.0003;0.0112;0.0237;0.0533;0.007;0.2682
1607090;MAKARTI JAYA;0.4642;0.0367;0.2241;0.003;0.003;0.0061;0.1514;0;0.1114
1607091;AIR SALEK;0.3069;0.0212;0.524;0;0.0029;0;0.0802;0;0.0649
1607100;BANYUASIN II;0.3181;0.1316;0.0305;0;0.0537;0.0136;0.0741;0.0079;0.3705
1607101;KARANG AGUNG ILIR;0.2468;0.0541;0.6415;0;0.0002;0.005;0;0;0.0524
1607110;MUARA TELANG;0.2607;0.0066;0.6824;0.0027;0;0;0.0476;0;0
1607111;SUMBER MARGA TELANG;0.3633;0.0689;0.4695;0;0.0042;0.0047;0.0895;0;0
1608010;MEKAKAU ILIR;0.9977;0;0.0023;0;0;0;0;0;0
1608020;BANDING AGUNG;0.9829;0;0.0041;0;0;0;0.013;0;0
1608021;WARKUK RANAU SELATAN;0.9533;0.011;0.0112;0.0037;0;0;0.0208;0;0
1608022;BUAY PEMATANG RIBU RANAU TENGAH;0.9912;0.0051;0;0;0;0;0.0036;0;0
1608030;BUAY PEMACA;0.9976;0.0004;0.002;0;0;0;0;0;0
1608040;SIMPANG;0.9483;0.0282;0.0235;0;0;0;0;0;0
1608041;BUANA PEMACA;0.9853;0.0128;0.0019;0;0;0;0;0;0
1608050;MUARADUA;0.9819;0.009;0;0.0045;0;0;0.0045;0;0
1608051;BUAY RAWAN;1;0;0;0;0;0;0;0;0
1608060;BUAY SANDANG AJI;0.9915;0;0.0085;0;0;0;0;0;0
1608061;TIGA DIHAJI;0.9946;0;0;0;0;0.0054;0;0;0
1608070;BUAY RUNJUNG;0.9611;0;0.0389;0;0;0;0;0;0
1608071;RUNJUNG AGUNG;0.9928;0;0;0.0072;0;0;0;0;0
1608080;KISAM TINGGI;0.9675;0.029;0.0035;0;0;0;0;0;0
1608090;MUARADUA KISAM;1;0;0;0;0;0;0;0;0
1608091;KISAM ILIR;0.9844;0;0.0156;0;0;0;0;0;0
1608100;PULAU BERINGIN;0.992;0.004;0.004;0;0;0;0;0;0
1608101;SINDANG DANAU;0.992;0;0.008;0;0;0;0;0;0
1608102;SUNGAI ARE;0.9894;0.0106;0;0;0;0;0;0;0
1609010;MARTAPURA;0.9196;0.0059;0.0503;0.0181;0;0;0.006;0;0
1609011;BUNGA MAYANG;0.8797;0.0014;0.1049;0;0;0;0.0139;0;0
1609012;JAYA PURA;0.9842;0.0076;0.0019;0.0063;0;0;0;0;0
1609020;BUAY PEMUKA PELIUNG;0.8155;0.0058;0.1544;0.0115;0;0;0.0127;0;0
1609030;BUAY MADANG;0.2685;0;0.7208;0;0;0;0.0107;0;0
1609031;BUAY MADANG TIMUR;0.5154;0.0065;0.4561;0.022;0;0;0;0;0
1609032;BUAY PEMUKA BANGSA RAJA;0.7883;0.0098;0.1823;0.0098;0;0;0.0098;0;0
1609040;MADANG SUKU II;0.7017;0;0.2892;0;0;0;0.0091;0;0
1609041;MADANG SUKU III;0.95;0.0042;0.0438;0;0;0;0.0021;0;0
1609050;MADANG SUKU I;0.6641;0.0327;0.2901;0;0;0.0044;0.0087;0;0
1609051;BELITANG MADANG RAYA;0.6747;0.0119;0.3108;0.0026;0;0;0;0;0
1609060;BELITANG;0.1676;0;0.793;0.0395;0;0;0;0;0
1609061;BELITANG JAYA;0.8882;0;0.1118;0;0;0;0;0;0
1609070;BELITANG III;0.8378;0;0.1622;0;0;0;0;0;0
1609080;BELITANG II;0.838;0;0.162;0;0;0;0;0;0
1609081;BELITANG MULYA;0.514;0;0.4678;0.0182;0;0;0;0;0
1609090;SEMENDAWAI SUKU III;0.5699;0;0.4221;0.008;0;0;0;0;0
1609091;SEMENDAWAI TIMUR;0.8745;0;0.1255;0;0;0;0;0;0
1609100;CEMPAKA;0.8315;0.0752;0.0911;0;0;0.0022;0;0;0
1609101;SEMENDAWAI BARAT;0.8295;0.0144;0.156;0;0;0.0001;0;0;0
1610010;MUARA KUANG;0.9005;0.0469;0.0391;0.0036;0;0.0026;0;0.0073;0
1610011;RAMBANG KUANG;0.9945;0.0029;0;0;0;0.0006;0;0.002;0
1610012;LUBUK KELIAT;0.698;0.0988;0.2032;0;0;0;0;0;0
1610020;TANJUNG BATU;0.7235;0.079;0.1468;0.0039;0;0;0;0.0467;0
1610021;PAYARAMAN;0.9736;0;0.0264;0;0;0;0;0;0
1610030;RANTAU ALAI;0.8266;0.0976;0.0494;0;0;0;0.0265;0;0
1610031;KANDIS;0.6817;0.1138;0.2045;0;0;0;0;0;0
1610040;TANJUNG RAJA;0.8295;0.0694;0.0809;0.0134;0;0;0.0068;0;0
1610041;RANTAU PANJANG;0.362;0;0.6251;0;0;0;0.0129;0;0
1610042;SUNGAI PINANG;0.464;0;0.487;0;0;0;0.0368;0.0122;0
1610050;PEMULUTAN;0.0326;0.1775;0.7297;0.0252;0;0;0.035;0;0
1610051;PEMULUTAN SELATAN;0.2619;0.0329;0.6797;0;0;0;0.0254;0;0
1610052;PEMULUTAN BARAT;0.1514;0.2428;0.5596;0;0;0.0144;0.0174;0.0144;0
1610060;INDRALAYA;0.4591;0.095;0.3064;0.0339;0;0.0113;0;0.0943;0
1610061;INDRALAYA UTARA;0.639;0.3072;0.017;0.0032;0;0.0126;0;0.021;0
1610062;INDRALAYA SELATAN;0.6438;0.1049;0.089;0.0263;0;0.0263;0;0.1097;0
1611010;MUARA PINANG;0.9698;0;0.0215;0.0087;0;0;0;0;0
1611020;LINTANG KANAN;0.8905;0;0.1079;0.0016;0;0;0;0;0
1611030;PENDOPO;0.8724;0;0.1137;0.0139;0;0;0;0;0
1611031;PENDOPO BARAT;0.999;0;0;0.001;0;0;0;0;0
1611040;PASEMAH AIR KERUH;0.7859;0.0094;0.2047;0;0;0;0;0;0
1611050;ULU MUSI;0.9901;0;0.0099;0;0;0;0;0;0
1611051;SIKAP DALAM;0.9907;0.0093;0;0;0;0;0;0;0
1611060;TALANG PADANG;0.9837;0;0.0163;0;0;0;0;0;0
1611070;TEBING TINGGI;0.9972;0;0.0028;0;0;0;0;0;0
1611071;SALING;0.9913;0;0.0087;0;0;0;0;0;0
1612010;TALANG UBI;0.9986;0;0;0.0014;0;0;0;0;0
1612020;TANAH ABANG;0.92;0.0192;0.0395;0.009;0;0;0.0067;0.0056;0
1612030;ABAB;0.8983;0.0477;0.0061;0.0027;0.0027;0.0102;0.0108;0.0216;0
1612040;PENUKAL;0.9745;0.0139;0;0.0029;0.0056;0;0.0002;0.003;0
1612050;PENUKAL UTARA;0.9184;0.0514;0;0;0.0094;0.0119;0;0.0089;0
1613010;ULU RAWAS;1;0;0;0;0;0;0;0;0
1613020;KARANG JAYA;1;0;0;0;0;0;0;0;0
1613030;RAWAS ULU;0.9979;0;0;0;0;0.0021;0;0;0
1613040;RUPIT;0.9963;0.0025;0.0012;0;0;0;0;0;0
1613050;KARANG DAPO;0.9662;0.0175;0.0068;0;0;0.0076;0.0019;0;0
1613060;RAWAS ILIR;0.9762;0.0099;0.0108;0;0;0.0011;0.001;0.001;0
1613070;NIBUNG;0.9954;0.0032;0;0;0;0.0014;0;0;0
1671010;ILIR BARAT II;0;0;0;0.82;0;0;0.18;0;0
1671011;GANDUS;0.5392;0.072;0.1433;0.1475;0;0;0.098;0;0
1671020;SEBERANG ULU I;0;0;0.1427;0.8147;0;0;0.0426;0;0
1671021;KERTAPATI;0.0271;0.2427;0.5437;0.1361;0;0;0.0504;0;0
1671022;JAKABARING;0.1197;0.1735;0.0256;0.6137;0;0;0.0675;0;0
1671030;SEBERANG ULU II;0;0.0733;0;0.8107;0;0;0.116;0;0
1671031;PLAJU;0.161;0.0577;0.1443;0.4194;0;0;0.2176;0;0
1671040;ILIR BARAT I;0.5531;0.0247;0;0.4222;0;0;0;0;0
1671041;BUKIT KECIL;0;0;0;0.9872;0;0;0.0128;0;0
1671050;ILIR TIMUR I;0;0;0;1;0;0;0;0;0
1671051;KEMUNING;0.0162;0;0;0.9838;0;0;0;0;0
1671060;ILIR TIMUR II;0;0;0;0.8585;0;0;0.1035;0.0379;0
1671061;KALIDONI;0.0772;0.0029;0.2753;0.5554;0;0;0.0693;0.0198;0
1671062;ILIR TIMUR TIGA;0;0;0;1;0;0;0;0;0
1671070;SAKO;0.3812;0.2301;0;0.3887;0;0;0;0;0
1671071;SEMATANG BORANG;0.5779;0.2322;0;0.1898;0;0;0;0;0
1671080;SUKARAMI;0.3333;0.1426;0;0.5241;0;0;0;0;0
1671081;ALANG ALANG LEBAR;0.4632;0.1392;0;0.3975;0;0;0;0;0
1672010;RAMBANG KAPAK TENGAH;1;0;0;0;0;0;0;0;0
1672020;PRABUMULIH TIMUR;0.894;0;0;0.106;0;0;0;0;0
1672021;PRABUMULIH SELATAN;0.9725;0;0;0.0275;0;0;0;0;0
1672030;PRABUMULIH BARAT;0.9876;0;0.0085;0.0039;0;0;0;0;0
1672031;PRABUMULIH UTARA;0.876;0;0;0.124;0;0;0;0;0
1672040;CAMBAI;0.9929;0;0;0.0071;0;0;0;0;0
1673010;DEMPO SELATAN;0.9812;0.0001;0.014;0.0047;0;0;0;0;0
1673011;DEMPO TENGAH;0.9921;0;0.0079;0;0;0;0;0;0
1673020;DEMPO UTARA;0.965;0.0021;0.0322;0.0007;0;0;0;0;0
1673030;PAGAR ALAM SELATAN;0.8303;0.0352;0.0748;0.0597;0;0;0;0;0
1673040;PAGAR ALAM UTARA;0.8832;0;0.0725;0.0442;0;0;0;0;0
1674011;LUBUK LINGGAU BARAT I;0.9628;0;0;0.0372;0;0;0;0;0
1674012;LUBUK LINGGAU BARAT II;0.8336;0;0;0.1664;0;0;0;0;0
1674021;LUBUK LINGGAU SELATAN I;0.9981;0;0.0019;0;0;0;0;0;0
1674022;LUBUK LINGGAU SELATAN II;0.8466;0;0.1216;0.0318;0;0;0;0;0
1674031;LUBUK LINGGAU TIMUR I;0.735;0;0;0.265;0;0;0;0;0
1674032;LUBUK LINGGAU TIMUR II;0.6916;0;0;0.3084;0;0;0;0;0
1674041;LUBUK LINGGAU UTARA I;0.9779;0;0.0221;0;0;0;0;0;0
1674042;LUBUK LINGGAU UTARA II;0.9417;0;0;0.0583;0;0;0;0;0
